,Id,Nummer,Titels,Initialen,Tussenvoegsel,Achternaam,Voornamen,Roepnaam,Geslacht,Functie,Geboortedatum,Geboorteplaats,Geboorteland,Overlijdensdatum,Overlijdensplaats,Woonplaats,Land,ContentType,ContentLength,GewijzigdOp,ApiGewijzigdOp,Verwijderd
169,10592c37-8c15-4a6d-8729-b7b97479655a,863.0,drs.,A,van,Boven,,,man,Oud Kamerlid,1925-01-28T00:00:00+01:00,Voorschoten,,,,'s-Gravenhage,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:34:22.5532045Z,False
170,14864d60-3102-46d9-871b-b7c37b009b82,,,,,,,,,,,,,,,,,,,,,
171,f9ca15ac-e986-417a-a046-b7f74f1086c5,228.0,drs.,F.W.,,Weisglas,Frans,Frans,man,Oud Kamerlid,1946-08-08T00:00:00+02:00,Den Haag,,,,Rotterdam,NL,image/jpeg,5407.0,2020-11-20T13:29:40+01:00,2020-11-20T12:31:29.8944069Z,False
172,5deaa32a-7bca-4356-877c-b7f9a1c7c795,402.0,drs.,N,,Smit-Kroes,,,vrouw,Oud Kamerlid,1941-07-19T00:00:00+02:00,Rotterdam,,,,Wassenaar,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:31:40.1445546Z,False
173,ed492d92-e3ab-4f6d-966c-b82f4e7f94f0,2174.0,,W,,Wagenaar,,,man,Oud Kamerlid,1895-08-28T00:00:00+02:00,-,,1943-05-29,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:40:18.243807Z,False
174,6bfaf570-5b6f-41e1-baf2-b833f6203513,403.0,,G.J.P.,van,Otterloo,Gerrit Jan Pieter,Gerrit Jan,man,Tweede Kamerlid,1949-05-04T00:00:00+02:00,Den Haag,Nederland,,,Den Haag,NL,image/jpeg,39944.0,2020-11-20T13:29:40+01:00,2020-11-20T12:32:10.9887636Z,False
175,702ae6c5-c142-41f1-8047-b84045d49a7c,,,,,,,,,,,,,,,,,,,,,
176,2394e53a-f1c5-4da8-ba61-b860b1cf4a0c,112.0,,T,,Tolman,Teunus,Teunus,man,Oud Kamerlid,1924-09-22T00:00:00+02:00,Oldeholtpade                       ,,2007-10-30,,Oldeholtpade,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:30:34.2373279Z,False
177,4b04ace6-2e53-4180-926c-b87c0f1d973c,1698.0,,H,van,Loghem,,,man,Oud Kamerlid,1808-05-07T00:00:00+02:00,-,,1881-12-08,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:38:15.7584052Z,False
178,fe332fb9-6fc0-421d-99d9-b8aa0e643735,2028.0,,R,,Stenhuis,,,man,Oud Kamerlid,1885-03-26T00:00:00+01:00,-,,1963-06-13,,,NL,,,2020-11-20T13:29:40+01:00,2020-11-20T12:39:21.8995872Z,False
